Wavelength,"EBFP2 (EX)","EBFP2 (EM)","EYFP (EX)","EYFP (EM)","T-Sapphire (EX)","T-Sapphire (EM)","CFP (Tsien) (AB)","CFP (Tsien) (EM)","mCitrine (AB)","mCitrine (EM)","mRFP1.4 (AB)","mRFP1.4 (EM)","EGFPm (Tsien) (AB)","EGFPm (Tsien) (EM)","mCherry (AB)","mCherry (EM)","mOrange (AB)","mOrange (EM)","DsRed (EX)","DsRed (EM)","E2-Crimson (EX)","E2-Crimson (EM)","NirFP (AB)","NirFP (EM)",
415.00,0.0050000000,,,0.7288573580,,0.0040000000,,0.0190000000,,0.6800000000,0.7118600000,0.2188200000,,,0.0272159950,,,0.0162192980,,0.0571360000,,0.1880000000,,0.0480300000,
416.00,0.0040000000,,,0.7114267180,,0.0050000000,,0.0190000000,,0.6980000000,0.7321700000,0.1984200000,,,0.0244997400,,,0.0153792300,,0.0546100000,,0.1900000000,,0.0471500000,
417.00,0.0040000000,,,0.6868947660,,0.0050000000,,0.0190000000,,0.7160000000,0.7478100000,0.1810100000,,,0.0225678520,,,0.0150557640,,0.0521630000,,0.1930000000,,0.0451000000,
418.00,0.0040000000,,,0.6668818940,,0.0050000000,,0.0200000000,,0.7350000000,0.7467000000,0.1668800000,,,0.0209235880,,,0.0150009580,,0.0493720000,,0.1970000000,,0.0448000000,
419.00,0.0030000000,,,0.6455777570,,0.0060000000,,0.0200000000,,0.7540000000,0.7675300000,0.1551800000,,,0.0198174790,,,0.0145232530,,0.0475760000,,0.1990000000,,0.0435000000,
420.00,0.0030000000,,,0.6242737190,,0.0060000000,,0.0210000000,,0.7720000000,0.7794800000,0.1452200000,,,0.0185348680,,,0.0140454520,,0.0459660000,,0.2030000000,,0.0428300000,
421.00,0.0030000000,,,0.5919948710,,0.0060000000,,0.0200000000,,0.7930000000,0.7964900000,0.1362600000,,,0.0166087870,,,0.0141222770,,0.0442500000,,0.2050000000,,0.0425300000,
422.00,0.0030000000,,,0.5700452510,,0.0070000000,,0.0210000000,,0.8130000000,0.7963800000,0.1275000000,,,0.0153096510,,,0.0135190990,,0.0429580000,,0.2080000000,,0.0390200000,
423.00,0.0030000000,,,0.5468043640,,0.0070000000,,0.0210000000,,0.8340000000,0.8194900000,0.1226300000,,,0.0151549300,,,0.0140123820,,0.0414130000,,0.2110000000,,0.0368000000,
424.00,0.0030000000,,,0.5029051230,,0.0080000000,,0.0210000000,,0.8550000000,0.8268200000,0.1174700000,,,0.0122257210,,,0.0131863350,,0.0404380000,,0.2150000000,,0.0350700000,
425.00,0.0030000000,,,0.4693351100,,0.0080000000,,0.0220000000,,0.8760000000,0.8369800000,0.1134800000,,,0.0124527680,,,0.0133151560,,0.0396570000,,0.2180000000,,0.0355800000,
426.00,0.0030000000,,,0.4422208250,,0.0080000000,,0.0220000000,,0.8960000000,0.8552000000,,,,0.0125389330,,,0.0135684760,,0.0394510000,,0.2220000000,,0.0350200000,
427.00,0.0030000000,,,0.4060684800,,0.0090000000,,0.0220000000,,0.9160000000,0.8710500000,,,,0.0112622750,,,0.0135718960,,0.0391480000,,0.2250000000,,0.0352500000,
428.00,0.0030000000,,,0.3867010910,,0.0090000000,,0.0230000000,,0.9330000000,0.8743200000,,,,0.0116043700,,,0.0134219500,,0.0390590000,,0.2300000000,,0.0332600000,
429.00,0.0030000000,,,0.3666882190,,0.0100000000,,0.0230000000,,0.9490000000,0.8890400000,,,,0.0107654300,,,0.0134323830,,0.0393110000,,0.2350000000,,0.0344400000,
430.00,0.0040000000,,,0.3376371860,,0.0110000000,,0.0240000000,,0.9650000000,0.9028900000,,,,0.0098839990,,,0.0136440480,,0.0396510000,,0.2410000000,,0.0337000000,
431.00,0.0040000000,,,0.2937379450,,0.0110000000,,0.0240000000,,0.9760000000,0.9327800000,,,,0.0106730480,,,0.0142379280,,0.0404220000,,0.2460000000,,0.0304400000,
